BIOGRID_ID	IDENTIFIER_VALUE
106523	P04217
106524	P01023
106527	P18440
106528	P11245
106530	P01011
106531	P22760
106532	Q13685
106533	Q16613
106534	P49588
106536	P80404
106537	O95477
106538	Q9BZC7
106539	Q99758
106540	O75027
106541	Q8NE71
106542	P78363
106543	P00519
106544	P19801
120584	Q7Z6B0
116847	O15084
106546	P16442
117567	Q96EK5
122319	Q9H992
121834	Q9H7N4
120746	Q7Z4S6
106550	O00763
106551	P28330
106552	P11310
106553	P16219
121814	Q9NPP4
106557	Q9BWD1
106558	Q16515
106559	P78348
106561	P22303
106565	P10323
106568	P24666
106569	P11117
106571	P15309
106572	P26436
106573	P68133
106575	P60709
106585	P68032
106586	P63261
106587	P63267
106601	O96019
106603	P35609
106604	Q08043
120743	Q9NXV6
106607	P27037
106608	Q13705
106609	P37023
106610	Q03154
106612	P07311
106615	P78325
120583	Q8N5T2
118019	Q9UIA0
121768	Q9C0B6
106618	P78563
106619	Q9NS39
106621	Q08828
122111	Q96MS0
120874	Q9NV88
120873	Q96SN8
120742	Q8IY21
122110	Q9BX79
116861	Q6IQ26
106627	P40145
120739	Q6NZY4
106629	P18509
106630	P41586
120738	Q96G74
122383	Q6ZS30
121979	Q96PZ2
106636	P07327
106637	P00325
106638	P00326
106639	P08319
106640	P11766
106642	P28332
106643	P40394
106645	P35318
106646	P30542
106647	P29274
106648	P29275
106650	P33765
106651	P54922
106652	P09874
123537	Q3B7J2
119583	Q9NZQ3
119210	Q9Y3C4
106656	P25100
106657	P35368
106658	P35348
106659	P08913
106660	P18089
106661	P18825
106662	P08588
106663	P07550
106664	P13945
119568	Q9Y3C1
118100	Q9Y2M5
118085	Q5VV41
120351	Q5R3I4
106671	Q10567
106673	O43747
106674	Q8IUX7
106675	Q08117
106676	P54107
106681	P43652
106682	P02771
106683	P20933
106685	Q15109
120357	Q7Z4Q2
106688	O00253
106690	P01019
106691	P30556
106692	P50052
106693	P35414
106694	P21549
106695	P51843
106699	P35869
106700	P02765
120858	Q8N8S7
120863	Q9H0R1
106708	P27144
119923	Q9UJM3
106712	P13716
106714	P22557
106715	P02768
106716	Q13740
106717	P33897
106718	P00352
106719	P05091
110105	O15230
110108	Q13751
106722	P47895
106723	P43353
106724	P48448
110115	P08865
110122	Q14739
106730	P05062
125385	Q9BXB5
106739	Q9UM73
106740	P18054
106741	P09917
106742	P20292
106743	O75342
106747	P16050
106748	O15296
106749	P09923
106750	P05186
106751	P05187
106752	P10696
106755	O95076
106756	Q9NP70
106757	P02760
106759	P17707
106762	Q99217
106763	Q99218
125417	Q86TJ5
106765	P03971
106766	Q16671
106767	P23109
125437	Q0JRZ9
106769	Q01432
106771	O00499
106772	P48728
106773	P04745
106774	P04745
106775	P04745
106776	P04746
106777	P19961
106780	P03950
119284	Q96Q11
106783	P16157
108165	Q99576
120579	Q5H9R7
122063	Q9BS16
106787	P15144
106788	P12235
106789	P05141
106790	P12236
122089	Q9BPX3
106803	P12429
116384	Q9UKA4
106806	P08133
116397	Q9UGP8
116381	O94903
116568	Q9Y2G9
106809	P27216
106810	P28039
106811	O75106
106813	Q06278
116571	Q7L2E3
106815	P50583
106816	Q13790
106817	Q02410
106818	Q99767
119582	Q9NZJ0
122050	Q9HCC0
122048	Q9H4A6
122035	Q5T8P6
118791	Q9Y343
106821	P25054
106822	P02743
106823	O43918
106825	P27695
106826	Q13490
118799	Q9H845
106829	O15392
106830	P51693
118787	Q96C86
106832	P02647
106833	P02652
106835	P04114
106836	P41238
106838	P02654
106840	O94778
106841	P02655
106842	P02656
106843	P55056
106844	P05090
106845	P02649
106847	P02749
106848	P05067
106849	P07741
106850	P07288
106852	P48023
106853	Q13796
106854	P29972
106855	P41181
106856	Q92482
106857	P55087
106858	P55064
106859	Q13520
106860	O14520
106861	O43315
106862	P10275
106863	O95255
106867	P48444
106869	P15514
107859	Q05048
106872	P61204
106873	P18085
107860	P33240
106876	P84085
106877	P62330
106878	P05089
106879	P78540
107869	Q13363
106881	P62745
106882	P08134
106883	P61587
106886	P98171
107870	P56545
106888	O43182
121746	Q9HCE0
106891	Q99819
121743	Q5VW38
121730	Q8TEH3
106893	P40616
106894	O14813
106895	P36404
106899	O00327
106900	P36575
117519	O75179
117518	Q9BXF6
106903	P15289
106904	P15848
106905	P08842
106907	P51689
106908	P51690
106909	P54793
106910	P52961
106912	Q13508
106913	Q93070
117512	Q9Y6X4
120262	P0CG13
117361	Q9UKI9
106920	Q13510
106921	P50553
106922	Q99929
106924	P07306
106925	P07307
106926	P42127
106927	P04424
106930	P46597
106931	O43681
106932	P08243
106935	P45381
117359	Q9ULT8
117357	Q9Y519
117349	Q9Y2Z2
106952	O14525
106953	P01008
106954	Q15911
111549	Q13131
120225	Q9C0B9
120224	Q9NXF7
120223	Q9NXG0
108190	Q92997
106964	Q92858
106965	O00244
120209	Q0PNE2
120206	Q3T8J9
106967	P50993
106968	P13637
106969	P54707
106971	P05026
106972	P14415
106973	P54709
106976	P54710
106977	O14983
121729	Q6ZS81
121726	Q9HCH0
119220	Q9Y3B2
106983	P23634
106985	P20648
106986	P51164
106994	P06576
116722	O60292
106998	P30049
106999	P56381
107000	P24539
107001	P05496
107003	P48201
107005	P56385
120736	Q9HBM0
107007	P38606
107009	P21281
107010	P27449
107011	P21283
107012	P36543
107016	Q99437
107017	O95670
107425	Q16181
107020	Q04656
107021	P48047
116854	P98196
122795	Q5VYS8
122800	Q53R41
122801	Q6N063
122785	Q8NCM8
122777	Q8IWC1
122746	Q6N069
107031	Q9Y679
107032	P01185
107033	P37288
107034	P47901
107035	P30518
107036	P30530
107040	P25311
107043	P20160
107044	P61769
107046	Q14032
107047	O14867
107048	Q92934
107049	Q99933
107050	Q13072
107051	O14514
107052	O60241
107053	O60242
107054	Q16611
107055	P78367
121975	Q9H5I5
121973	Q9C0C9
121972	Q6YHU6
107058	Q8NFJ9
107059	Q9BXC9
120040	Q9Y6V7
120032	Q9C0I1
120027	Q96PV7
107062	O15382
107064	P06276
107065	P12694
107066	P21953
107067	P24385
107068	P10415
107069	Q16548
107071	Q92843
115610	P14550
115609	O00241
115609	Q5TFQ8
107077	Q4VC05
107079	O00512
107080	Q02223
107081	Q9UL51
107082	P03999
107083	P11274
108259	P41214
107091	Q02338
107092	P46663
107093	P30411
107098	P00751
107100	Q12934
107101	P02818
107102	P21810
107103	P13688
107104	Q93088
107105	Q96G01
108448	P25116
107107	Q13323
107108	O75626
107780	Q03060
122339	Q96C57
107111	Q13867
107112	P32302
107114	P30043
107115	Q01954
107116	P35226
107117	P13497
107118	P12643
107119	P12645
122360	P82933
107121	P22003
107122	P22004
107123	P18075
107124	P34820
117568	Q14C86
107129	P05423
107617	P54105
118978	Q6P5Z2
118979	Q9UJV8
107132	Q12983
116818	Q9UPT8
116808	Q14687
116802	Q14697
107136	P58012
107138	Q86WA6
107139	P17213
107140	P38398
107142	P51587
107144	Q07352
107145	P47974
107146	P32247
119532	Q9UBT6
107148	Q10588
107149	Q10589
107150	P35070
107151	P43251
107152	Q13886
107153	Q13887
107154	P20290
107159	P62324
107160	Q06187
107161	Q13410
107164	O43683
107166	O60566
107167	Q13895
107168	P30536
107169	Q07021
107171	P05155
107173	P02745
107174	P02746
107175	P02747
107176	P00736
107177	P09871
107178	P06681
107179	P01024
107180	Q16581
107181	P0C0L4
107182	P0C0L5
107182	P0C0L4
107183	P04003
107186	P20851
107189	P21730
107190	P13671
107191	P10643
107192	P07357
107193	P07358
107194	P07360
107196	P02748
107197	Q9UID3
107199	Q13405
107200	Q9UHR6
107202	Q15777
107203	Q9Y2G1
107204	P61165
107205	Q9Y4D2
119546	Q9UHH9
108218	P42892
107210	P53801
107211	O43822
107212	P56557
107213	O15442
107214	P00915
107215	P00918
107216	P07451
107217	P22748
107218	P35218
107220	P23280
107221	P43166
107223	Q16790
107224	O75493
107225	O43570
107227	O00555
121722	Q8IYD8
107229	Q13936
107230	Q01668
119554	B7ZAQ6
107232	O60840
107233	Q13698
120635	Q8NCD3
107235	P54289
107236	Q02641
107237	Q08289
107238	P54284
107239	O00305
107240	Q06432
107241	O43772
110855	Q16649
107244	P05937
107245	P22676
107246	P29377
107247	P01258
107247	P06881
107248	P10092
107250	P30988
110910	Q9NZN8
107252	P62158
110898	P16083
107261	P27482
107262	P27797
115370	O00429
115362	Q9NTJ3
115342	Q9Y2X0
118150	Q16763
