#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
biogrid:107315	biogrid:110592	-	-	entrez gene/locuslink:867|entrez gene/locuslink:CBL|entrez gene/locuslink:C-CBL|entrez gene/locuslink:CBL2|entrez gene/locuslink:FRA11B|entrez gene/locuslink:NSLL|entrez gene/locuslink:RNF55	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"Penengo L (2003)"|"Germano S (2006)"	pubmed:12802274|pubmed:16740632	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:504136|biogrid:437641	-
biogrid:115563	biogrid:110592	-	-	entrez gene/locuslink:10273|entrez gene/locuslink:STUB1|entrez gene/locuslink:LA16c-313D11.6|entrez gene/locuslink:CHIP|entrez gene/locuslink:HSPABP2|entrez gene/locuslink:NY-CO-7|entrez gene/locuslink:SCAR16|entrez gene/locuslink:SDCCAG7|entrez gene/locuslink:UBOX1	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0415"(enzymatic study)	"Germano S (2006)"	pubmed:16740632	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:437636|biogrid:437637	-
biogrid:110592	biogrid:109544	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:3312|entrez gene/locuslink:HSPA8|entrez gene/locuslink:HEL-33|entrez gene/locuslink:HEL-S-72p|entrez gene/locuslink:HSC54|entrez gene/locuslink:HSC70|entrez gene/locuslink:HSC71|entrez gene/locuslink:HSP71|entrez gene/locuslink:HSP73|entrez gene/locuslink:HSPA10|entrez gene/locuslink:LAP-1|entrez gene/locuslink:LAP1|entrez gene/locuslink:NIP71	psi-mi:"MI:0004"(affinity chromatography technology)	"Germano S (2006)"	pubmed:16740632	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:437638	-
biogrid:110592	biogrid:109552	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:3320|entrez gene/locuslink:HSP90AA1|entrez gene/locuslink:EL52|entrez gene/locuslink:HSP86|entrez gene/locuslink:HSP89A|entrez gene/locuslink:HSP90A|entrez gene/locuslink:HSP90N|entrez gene/locuslink:HSPC1|entrez gene/locuslink:HSPCA|entrez gene/locuslink:HSPCAL1|entrez gene/locuslink:HSPCAL4|entrez gene/locuslink:HSPN|entrez gene/locuslink:Hsp89|entrez gene/locuslink:Hsp90|entrez gene/locuslink:LAP-2|entrez gene/locuslink:LAP2	psi-mi:"MI:0004"(affinity chromatography technology)	"Germano S (2006)"	pubmed:16740632	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:437639	-
biogrid:109142	biogrid:110592	-	-	entrez gene/locuslink:2885|entrez gene/locuslink:GRB2|entrez gene/locuslink:ASH|entrez gene/locuslink:EGFRBP-GRB2|entrez gene/locuslink:Grb3-3|entrez gene/locuslink:MST084|entrez gene/locuslink:MSTP084|entrez gene/locuslink:NCKAP2	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0096"(pull down)|psi-mi:"MI:0004"(affinity chromatography technology)	"Li BQ (1995)"|"Iwama A (1996)"	pubmed:7488076|pubmed:8918464	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:277943|biogrid:304223	-
biogrid:110592	biogrid:112361	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:6464|entrez gene/locuslink:SHC1|entrez gene/locuslink:RP11-307C12.1|entrez gene/locuslink:SHC|entrez gene/locuslink:SHCA	psi-mi:"MI:0004"(affinity chromatography technology)	"Iwama A (1996)"	pubmed:8918464	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:304222	-
biogrid:110592	biogrid:111351	-	-	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	entrez gene/locuslink:5335|entrez gene/locuslink:PLCG1|entrez gene/locuslink:RP3-511B24.2|entrez gene/locuslink:NCKAP3|entrez gene/locuslink:PLC-II|entrez gene/locuslink:PLC1|entrez gene/locuslink:PLC148|entrez gene/locuslink:PLCgamma1	psi-mi:"MI:0004"(affinity chromatography technology)	"Iwama A (1996)"	pubmed:8918464	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:304224	-
biogrid:108824	biogrid:110592	-	-	entrez gene/locuslink:2549|entrez gene/locuslink:GAB1	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)|psi-mi:"MI:0018"(two hybrid)	"van den Akker E (2004)"	pubmed:14982882	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)|psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:855148|biogrid:855151	-
biogrid:108371	biogrid:110592	-	-	entrez gene/locuslink:2057|entrez gene/locuslink:EPOR|entrez gene/locuslink:EPO-R	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0004"(affinity chromatography technology)	"van den Akker E (2004)"	pubmed:14982882	taxid:9606	taxid:9606	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:855149	-
biogrid:106710	biogrid:110592	-	-	entrez gene/locuslink:207|entrez gene/locuslink:AKT1|entrez gene/locuslink:AKT|entrez gene/locuslink:CWS6|entrez gene/locuslink:PKB|entrez gene/locuslink:PKB-ALPHA|entrez gene/locuslink:PRKBA|entrez gene/locuslink:RAC|entrez gene/locuslink:RAC-ALPHA	entrez gene/locuslink:4486|entrez gene/locuslink:MST1R|entrez gene/locuslink:CD136|entrez gene/locuslink:CDw136|entrez gene/locuslink:PTK8|entrez gene/locuslink:RON	psi-mi:"MI:0415"(enzymatic study)	"Santoro MM (2003)"	pubmed:14505491	taxid:9606	taxid:9606	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0463"(biogrid)	biogrid:857677	-
